Time (UTC)	Intensity
2025-06-11 03:20:33.000363525+00:00	1.639531e+11
2025-06-11 03:20:34.000363525+00:00	1.639440e+11
2025-06-11 03:20:41.000363525+00:00	1.639510e+11
2025-06-11 03:20:42.000363525+00:00	1.639364e+11
2025-06-11 03:20:47.000363525+00:00	1.639396e+11
2025-06-11 03:20:48.000363525+00:00	1.639301e+11
2025-06-11 03:20:53.000363525+00:00	1.639410e+11
2025-06-11 03:20:57.000363525+00:00	1.639406e+11
2025-06-11 03:20:59.000363525+00:00	1.639293e+11
2025-06-11 03:21:12.000363525+00:00	1.639505e+11
2025-06-11 03:21:13.000363525+00:00	1.639278e+11
2025-06-11 03:21:17.000363525+00:00	1.639431e+11
2025-06-11 03:21:18.000363525+00:00	1.639072e+11
2025-06-11 03:21:21.000363525+00:00	1.639163e+11
2025-06-11 03:21:22.000363525+00:00	1.639345e+11
2025-06-11 03:21:26.000363525+00:00	1.639218e+11
2025-06-11 03:21:28.000363525+00:00	1.639218e+11
2025-06-11 03:21:29.000363525+00:00	1.639209e+11
2025-06-11 03:21:30.000363525+00:00	1.639246e+11
2025-06-11 03:21:32.000363525+00:00	1.639179e+11
2025-06-11 03:21:35.000363525+00:00	1.639285e+11
2025-06-11 03:21:36.000363525+00:00	1.639130e+11
2025-06-11 03:21:44.000363525+00:00	1.639202e+11
2025-06-11 03:21:45.000363525+00:00	1.639139e+11
2025-06-11 03:21:47.000363525+00:00	1.639146e+11
2025-06-11 03:21:48.000363525+00:00	1.639198e+11
2025-06-11 03:21:56.000363525+00:00	1.639119e+11
2025-06-11 03:22:01.000363525+00:00	1.639125e+11
2025-06-11 03:22:05.000363525+00:00	1.639144e+11
2025-06-11 03:22:06.000363525+00:00	1.639031e+11
2025-06-11 03:22:07.000363525+00:00	1.639063e+11
2025-06-11 03:22:25.000363525+00:00	1.638977e+11
2025-06-11 03:22:26.000363525+00:00	1.639123e+11
2025-06-11 03:22:32.000363525+00:00	1.638975e+11
2025-06-11 03:22:34.000363525+00:00	1.638931e+11
2025-06-11 03:22:37.000363525+00:00	1.638855e+11
2025-06-11 03:22:44.000363525+00:00	1.638915e+11
2025-06-11 03:22:49.000363525+00:00	1.638896e+11
2025-06-11 03:22:58.000363525+00:00	1.638820e+11
2025-06-11 03:23:01.000363525+00:00	1.638926e+11
2025-06-11 03:23:07.000363525+00:00	1.638726e+11
2025-06-11 03:23:09.000363525+00:00	1.638906e+11
2025-06-11 03:23:11.000363525+00:00	1.638838e+11
2025-06-11 03:23:13.000363525+00:00	1.638748e+11
2025-06-11 03:23:17.000363525+00:00	1.638796e+11
2025-06-11 03:23:25.000363525+00:00	1.638899e+11
2025-06-11 03:23:26.000363525+00:00	1.638887e+11
2025-06-11 03:23:28.000363525+00:00	1.638760e+11
2025-06-11 03:23:31.000363525+00:00	1.638767e+11
2025-06-11 03:23:33.000363525+00:00	1.638769e+11
2025-06-11 03:23:34.000363525+00:00	1.638642e+11
2025-06-11 03:23:36.000363525+00:00	1.638862e+11
2025-06-11 03:23:37.000363525+00:00	1.638644e+11
2025-06-11 03:23:39.000363525+00:00	1.638764e+11
2025-06-11 03:23:49.000363525+00:00	1.638989e+11
2025-06-11 03:23:51.000363525+00:00	1.639091e+11
2025-06-11 03:24:00.000363525+00:00	1.639077e+11
2025-06-11 03:24:01.000363525+00:00	1.639050e+11
2025-06-11 03:24:08.000363525+00:00	1.638906e+11
2025-06-11 03:24:09.000363525+00:00	1.638880e+11
2025-06-11 03:24:36.000363525+00:00	1.638739e+11
2025-06-11 03:24:41.000363525+00:00	1.638834e+11
2025-06-11 03:24:46.000363525+00:00	1.638799e+11
2025-06-11 03:24:52.000363525+00:00	1.638774e+11
2025-06-11 03:24:54.000363525+00:00	1.638771e+11
2025-06-11 03:25:01.000363525+00:00	1.638477e+11
2025-06-11 03:25:21.000363525+00:00	1.638433e+11
2025-06-11 03:25:31.000363525+00:00	1.638459e+11
2025-06-11 03:25:40.000363525+00:00	1.638329e+11
2025-06-11 03:25:43.000363525+00:00	1.638320e+11
2025-06-11 03:25:47.000363525+00:00	1.638378e+11
2025-06-11 03:25:50.000363525+00:00	1.638385e+11
2025-06-11 03:25:53.000363525+00:00	1.638329e+11
2025-06-11 03:25:54.000363525+00:00	1.638360e+11
2025-06-11 03:25:55.000363525+00:00	1.638278e+11
2025-06-11 03:26:00.000363525+00:00	1.638292e+11
2025-06-11 03:26:01.000363525+00:00	1.638311e+11
